,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
44,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:19,-85.0,14.7,Foreground,0.85,166.0
45,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:19,-92.0,15.6,Foreground,0.85,156.0
46,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:19,-89.0,16.1,Foreground,0.85,170.0
47,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:19,-90.0,20.4,Foreground,0.85,154.0
48,444_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160.0,2021-08-24 11:52:19,-93.0,39.9,Foreground,0.85,160.0
49,41_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:19,-66.0,1.1,Foreground,0.85,150.0
50,41_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:19,-86.0,14.1,Foreground,0.85,170.0
51,44_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:20,-67.0,1.6,Foreground,0.85,146.0
52,44_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:20,-87.0,12.3,Foreground,0.85,166.0
53,44_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161.0,2021-08-24 11:52:20,-93.0,31.9,Foreground,0.85,160.0
54,627_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:20,-59.0,0.5,Foreground,0.85,148.0
55,627_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:20,-82.0,10.8,Foreground,0.85,168.0
56,627_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:52:20,-87.0,21.0,Foreground,0.85,154.0
57,627_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:52:20,-87.0,22.3,Foreground,0.85,162.0
58,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:20,-58.0,0.5,Foreground,0.85,148.0
59,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:20,-72.0,0.9,Foreground,0.85,150.0
60,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:20,-71.0,3.4,Foreground,0.85,146.0
61,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168.0,2021-08-24 11:52:20,-81.0,13.1,Foreground,0.85,168.0
62,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:20,-85.0,14.4,Foreground,0.85,166.0
63,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:20,-88.0,16.3,Foreground,0.85,156.0
64,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:20,-89.0,16.7,Foreground,0.85,170.0
65,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:20,-92.0,21.6,Foreground,0.85,154.0
66,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152.0,2021-08-24 11:52:20,-86.0,23.7,Foreground,0.85,152.0
67,18_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162.0,2021-08-24 11:52:20,-94.0,30.2,Foreground,0.85,162.0
68,107_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:20,-68.0,1.2,Foreground,0.85,150.0
69,107_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:20,-87.0,14.5,Foreground,0.85,170.0
70,107_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157.0,2021-08-24 11:52:20,-94.0,19.0,Foreground,0.85,156.0
71,440_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:21,-66.0,1.4,Foreground,0.85,146.0
72,783_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:21,-64.0,0.6,Foreground,0.85,148.0
73,783_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:52:21,-91.0,23.3,Foreground,0.85,162.0
74,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:21,-57.0,0.4,Foreground,0.85,148.0
75,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:21,-66.0,0.9,Foreground,0.85,150.0
76,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:21,-69.0,2.7,Foreground,0.85,146.0
77,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:21,-79.0,12.0,Foreground,0.85,166.0
78,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:21,-89.0,17.2,Foreground,0.85,170.0
79,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:21,-91.0,17.8,Foreground,0.85,156.0
80,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:21,-86.0,20.2,Foreground,0.85,154.0
81,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152.0,2021-08-24 11:52:21,-86.0,20.4,Foreground,0.85,152.0
82,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164.0,2021-08-24 11:52:21,-95.0,27.2,Foreground,0.85,164.0
83,127_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162.0,2021-08-24 11:52:21,-94.0,31.0,Foreground,0.85,162.0
84,800_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:21,-66.0,1.2,Foreground,0.85,150.0
85,800_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:21,-92.0,15.6,Foreground,0.85,170.0
86,800_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157.0,2021-08-24 11:52:21,-90.0,19.7,Foreground,0.85,156.0
87,681_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:22,-66.0,1.3,Foreground,0.85,146.0
88,681_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:22,-94.0,14.2,Foreground,0.85,166.0
89,681_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153.0,2021-08-24 11:52:22,-90.0,19.9,Foreground,0.85,152.0
90,948_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:22,-65.0,0.7,Foreground,0.85,148.0
91,948_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:22,-85.0,11.1,Foreground,0.85,168.0
92,948_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:52:22,-91.0,21.9,Foreground,0.85,154.0
93,948_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:52:22,-92.0,24.6,Foreground,0.85,162.0
94,487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:22,-76.0,0.7,Foreground,0.85,148.0
95,487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:22,-75.0,2.9,Foreground,0.85,146.0
96,487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:22,-80.0,14.4,Foreground,0.85,170.0
97,487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168.0,2021-08-24 11:52:22,-92.0,14.8,Foreground,0.85,168.0
98,487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:22,-94.0,19.8,Foreground,0.85,156.0
99,487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:22,-88.0,20.1,Foreground,0.85,154.0
100,487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164.0,2021-08-24 11:52:22,-95.0,29.7,Foreground,0.85,164.0
101,487_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160.0,2021-08-24 11:52:22,-93.0,41.9,Foreground,0.85,160.0
102,510_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:22,-66.0,1.2,Foreground,0.85,150.0
103,510_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157.0,2021-08-24 11:52:22,-90.0,20.3,Foreground,0.85,156.0
104,Rule 4,,,,,,,
