,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
100,154_b28e7807-3517-4048-90cd-29e4826ae511,155.0,2021-08-24 11:15:48,-84.0,3.049896,Foreground,0.45,154.0
101,123_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:15:49,-63.0,1.741264,Foreground,0.45,146.0
102,35_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,167.0,2021-08-24 11:15:50,-83.0,2.850302,Foreground,0.45,166.0
103,35_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,153.0,2021-08-24 11:15:50,-88.0,4.003749,Foreground,0.45,152.0
104,116_b28e7807-3517-4048-90cd-29e4826ae511,155.0,2021-08-24 11:15:50,-93.0,4.142414,Foreground,0.45,154.0
105,436_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,146.0,2021-08-24 11:15:50,-60.0,0.449137,Foreground,0.45,146.0
106,436_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,148.0,2021-08-24 11:15:50,-64.0,0.856379,Foreground,0.45,148.0
107,547_79168cdd-f79a-40dd-a8b8-945f7c0f11c7,147.0,2021-08-24 11:15:51,-62.0,0.675564,Foreground,0.45,146.0
108,24_b28e7807-3517-4048-90cd-29e4826ae511,149.0,2021-08-24 11:15:51,-62.0,0.623424,Foreground,0.45,148.0
109,372_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,154.0,2021-08-24 11:15:51,-90.0,4.587381,Foreground,0.45,154.0
110,376_e70ce80a-f0e3-4b6d-96d3-be5540bd9cdb,151.0,2021-08-24 11:15:51,-78.0,2.043847,Foreground,0.45,150.0
111,313_db983ea6-33c3-4eb3-8c58-bb61b2c880cf,150.0,2021-08-24 11:15:53,-78.0,2.043847,Foreground,0.45,150.0
